target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	751.744	38	2.26837
Phvul.010G034400.1	1524	1354.74	55	1.82182
Phvul.010G080100.1	1407	1237.74	73	2.64663
Phvul.010G087950.1	351	184.76	0	0
Phvul.010G124000.1	474	305.167	14	2.05869
Phvul.010G044100.1	279	117.764	1958	746.109
Phvul.010G120850.1	957	787.744	57.6477	3.28396
Phvul.010G162100.1	1782	1612.74	0	0
Phvul.010G081700.1	1359	1189.74	39.0336	1.47226
Phvul.010G081700.2	1359	1189.74	39.0336	1.47226
Phvul.010G081700.3	978	808.744	49.9328	2.77061
Phvul.010G116100.2	984	814.744	354.735	19.5381
Phvul.010G116100.1	984	814.744	354.735	19.5381
Phvul.010G116100.3	942	772.744	274.826	15.9597
Phvul.010G116100.4	930	760.744	115.852	6.83385
Phvul.010G116100.5	930	760.744	115.852	6.83385
Phvul.010G151000.1	1998	1828.74	179	4.39239
Phvul.010G015900.1	1059	889.744	7946	400.76
Phvul.010G140500.1	600	430.831	471	49.0585
Phvul.010G118600.1	894	724.744	42.9096	2.65687
Phvul.010G118600.2	888	718.744	57.266	3.57539
Phvul.010G118600.3	870	700.744	0	0
Phvul.010G118600.4	864	694.744	0	0
Phvul.010G118600.5	864	694.744	0	0
Phvul.010G118600.6	864	694.744	17.6282	1.13863
Phvul.010G118600.7	858	688.744	0	0
Phvul.010G118600.8	840	670.761	0	0
Phvul.010G118600.9	834	664.761	0	0
Phvul.010G118600.10	834	664.761	0	0
Phvul.010G118600.11	816	646.761	0	0
Phvul.010G118600.12	810	640.761	0	0
Phvul.010G118600.13	651	481.786	2.19623	0.204562
Phvul.010G126700.4	675	505.786	331.605	29.4208
Phvul.010G126700.1	645	475.786	55.4108	5.22616
Phvul.010G126700.5	624	454.798	103.851	10.2469
Phvul.010G126700.2	624	454.798	103.851	10.2469
Phvul.010G126700.6	591	421.831	35.6409	3.7915
Phvul.010G126700.3	591	421.831	35.6409	3.7915
Phvul.010G089600.1	1068	898.744	64.7449	3.23274
Phvul.010G089600.2	1047	877.744	20.2551	1.03554
Phvul.010G128000.1	786	616.761	3	0.218276
Phvul.010G160700.1	999	829.744	39	2.10922
Phvul.010G139800.1	2334	2164.74	75.4365	1.56378
Phvul.010G139800.2	2316	2146.74	0	0
Phvul.010G139800.3	2226	2056.74	39.7241	0.866711
Phvul.010G139800.4	1923	1753.74	3.83945	0.0982433
Phvul.010G139800.5	1905	1735.74	0	0
Phvul.010G075800.1	1284	1114.74	85	3.42172
Phvul.010G004000.1	1905	1735.74	10.4683	0.270641
Phvul.010G058700.1	1506	1336.74	71	2.38348
