target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	753.224	61	2.43986
Phvul.010G034400.1	1524	1356.22	238	5.28695
Phvul.010G080100.1	1407	1239.22	113	2.74719
Phvul.010G087950.1	351	185.899	0	0
Phvul.010G124000.1	474	306.63	2	0.196506
Phvul.010G044100.1	279	118.733	3301	837.595
Phvul.010G120850.1	957	789.224	75	2.863
Phvul.010G162100.1	1782	1614.22	0	0
Phvul.010G081700.1	1359	1191.22	107.867	2.72806
Phvul.010G081700.2	1359	1191.22	107.867	2.72806
Phvul.010G081700.3	978	810.224	39.2666	1.46009
Phvul.010G116100.2	984	816.224	592.24	21.8599
Phvul.010G116100.1	984	816.224	592.24	21.8599
Phvul.010G116100.3	942	774.224	294.302	11.4521
Phvul.010G116100.4	930	762.224	122.109	4.82641
Phvul.010G116100.5	930	762.224	122.109	4.82641
Phvul.010G151000.1	1998	1830.22	471	7.75312
Phvul.010G015900.1	1059	891.224	5751	194.409
Phvul.010G140500.1	600	432.271	444	30.9447
Phvul.010G118600.1	894	726.224	64.9969	2.69639
Phvul.010G118600.2	888	720.224	106.645	4.46102
Phvul.010G118600.3	870	702.224	0	0
Phvul.010G118600.4	864	696.224	0	0
Phvul.010G118600.5	864	696.224	0	0
Phvul.010G118600.6	864	696.224	2.31756	0.100286
Phvul.010G118600.7	858	690.224	4.04026	0.176351
Phvul.010G118600.8	840	672.224	0	0
Phvul.010G118600.9	834	666.224	0	0
Phvul.010G118600.10	834	666.224	0	0
Phvul.010G118600.11	816	648.224	0	0
Phvul.010G118600.12	810	642.224	0	0
Phvul.010G118600.13	651	483.237	0	0
Phvul.010G126700.4	675	507.237	476.554	28.3049
Phvul.010G126700.1	645	477.249	135.507	8.55413
Phvul.010G126700.5	624	456.249	158.886	10.4917
Phvul.010G126700.2	624	456.249	158.886	10.4917
Phvul.010G126700.6	591	423.271	67.5833	4.8104
Phvul.010G126700.3	591	423.271	67.5833	4.8104
Phvul.010G089600.1	1068	900.224	197.716	6.61686
Phvul.010G089600.2	1047	879.224	26.2836	0.900628
Phvul.010G128000.1	786	618.224	1	0.048732
Phvul.010G160700.1	999	831.224	59	2.13842
Phvul.010G139800.1	2334	2166.22	131.441	1.82804
Phvul.010G139800.2	2316	2148.22	26.5594	0.372476
Phvul.010G139800.3	2226	2058.22	0	0
Phvul.010G139800.4	1923	1755.22	0	0
Phvul.010G139800.5	1905	1737.22	0	0
Phvul.010G075800.1	1284	1116.22	124	3.3468
Phvul.010G004000.1	1905	1737.22	8.85761	0.15361
Phvul.010G058700.1	1506	1338.22	74	1.66595
Phvul.010G042100.1	2886	2718.22	852	9.44309
Phvul.010G050300.1	375	209.168	5	0.720169
Phvul.010G057200.1	1878	1710.22	1	0.017616
Phvul.010G060700.1	216	66.4915	453.356	205.415
Phvul.010G065200.1	753	585.224	754	38.8159
Phvul.010G065200.2	753	585.224	754	38.8159
Phvul.010G133600.1	1032	864.224	462	16.1056
Phvul.010G133600.2	1032	864.224	462	16.1056
Phvul.010G013600.1	3285	3117.22	0	0
Phvul.010G031300.1	441	273.861	407	44.7737
Phvul.010G133100.1	351	185.899	7.12528	1.15474
Phvul.010G071200.1	1431	1263.22	0	0
Phvul.010G024600.1	657	489.237	6448	397.069
Phvul.010G009000.2	1518	1350.22	21.5405	0.480628
Phvul.010G009000.1	1455	1287.22	0	0
Phvul.010G000200.1	816	648.224	77	3.5787
Phvul.010G018600.2	1866	1698.22	389	6.90104
Phvul.010G001200.1	1527	1359.22	1627	36.0625
Phvul.010G124300.1	552	384.3	1	0.0783951
Phvul.010G071832.1	1737	1569.22	447	8.58188
Phvul.010G077400.1	375	209.168	0	0
Phvul.010G165100.1	2292	2124.22	2479	35.159
Phvul.010G081100.1	2247	2079.22	75	1.08673
Phvul.010G011200.1	909	741.224	5	0.203227
Phvul.010G155200.2	483	315.56	659	62.9163
Phvul.010G138200.1	1503	1335.22	357	8.05516
Phvul.010G084400.1	666	498.237	329	19.8939
Phvul.010G122100.1	2157	1989.22	1718	26.0195
Phvul.010G122100.2	2052	1884.22	1.0616e-05	1.69742e-07
Phvul.010G070100.3	1833	1665.22	167.667	3.03343
Phvul.010G070100.1	1833	1665.22	167.667	3.03343
Phvul.010G070100.2	1833	1665.22	167.667	3.03343
Phvul.010G145400.2	456	288.727	1	0.104345
Phvul.010G163400.1	615	447.26	750	50.5197
Phvul.010G089500.1	333	168.647	0	0
Phvul.010G016900.1	942	774.224	83.0195	3.23053
Phvul.010G161600.3	855	687.224	317	13.897
Phvul.010G119600.1	1287	1119.22	1609	43.3111
Phvul.010G088400.1	2235	2067.22	380.167	5.54047
Phvul.010G088400.2	2019	1851.22	4.83301	0.0786535
Phvul.010G077900.1	2157	1989.22	265	4.01349
Phvul.010G118100.3	660	492.237	343.333	21.0137
Phvul.010G118100.1	660	492.237	343.333	21.0137
Phvul.010G118100.2	660	492.237	343.333	21.0137
Phvul.010G140900.1	816	648.224	314.223	14.604
Phvul.010G082900.1	456	288.727	7044	735.007
Phvul.010G147700.1	753	585.224	106.425	5.47875
Phvul.010G147700.2	588	420.271	1.5751	0.112912
Phvul.010G041100.1	408	241.33	0	0
Phvul.010G010800.1	546	378.3	180.431	14.3693
Phvul.010G010800.2	405	238.39	8.56875	1.0829
Phvul.010G075200.1	627	459.249	0	0
Phvul.010G141200.2	816	648.224	543.087	25.2409
Phvul.010G070200.1	2721	2553.22	202.966	2.39493
Phvul.010G070200.2	2721	2553.22	202.966	2.39493
Phvul.010G070200.3	2613	2445.22	163.534	2.01488
Phvul.010G070200.4	2613	2445.22	163.534	2.01488
Phvul.010G058500.1	621	453.249	303	20.1403
Phvul.010G144200.1	813	645.224	14	0.653699
Phvul.010G070600.1	1191	1023.22	23.0755	0.679422
Phvul.010G070600.3	1116	948.224	155.925	4.95408
Phvul.010G066600.1	1011	843.224	222.984	7.96691
Phvul.010G014400.1	291	129.57	0	0
Phvul.010G078102.1	2292	2124.22	2	0.0283654
Phvul.010G037600.1	1326	1158.22	4	0.104046
Phvul.010G056400.1	381	214.992	55	7.70726
Phvul.010G065500.1	513	345.445	597	52.0661
Phvul.010G085100.1	639	471.249	95	6.07342
Phvul.010G123600.1	660	492.237	3550	217.277
Phvul.010G036700.1	1848	1680.22	0	0
Phvul.010G025400.1	2976	2808.22	251.286	2.69586
Phvul.010G025400.3	2973	2805.22	0	0
Phvul.010G025400.4	2628	2460.22	0	0
Phvul.010G025400.2	2604	2436.22	0	0
Phvul.010G025400.5	2544	2376.22	0	0
Phvul.010G025400.6	2247	2079.22	12.3061	0.178312
Phvul.010G025400.7	1935	1767.22	0	0
Phvul.010G162300.1	1167	999.224	29.3131	0.88381
Phvul.010G153700.1	432	264.955	462	52.5326
Phvul.010G098800.1	1752	1584.22	454.618	8.6455
Phvul.010G088700.1	2295	2127.22	141	1.99694
Phvul.010G137700.1	1167	999.224	303.734	9.15778
Phvul.010G137700.2	912	744.224	20.2661	0.820402
Phvul.010G068700.1	699	531.224	12	0.680556
Phvul.010G069165.1	654	486.237	10	0.619601
Phvul.010G076001.1	315	151.701	7	1.39018
Phvul.010G076001.2	315	151.701	7	1.39018
Phvul.010G054400.1	978	810.224	262.15	9.74775
Phvul.010G101300.1	585	417.271	0	0
Phvul.010G074500.1	360	194.568	86.964	13.4657
Phvul.010G119400.1	5754	5586.22	992	5.34999
Phvul.010G160200.1	906	738.224	0	0
Phvul.010G160200.2	885	717.224	2	0.0840108
Phvul.010G160200.3	753	585.224	0	0
Phvul.010G088600.1	3321	3153.22	0	0
Phvul.010G024301.1	2952	2784.22	50.8415	0.550141
Phvul.010G142800.1	1143	975.224	189	5.83872
Phvul.010G016600.1	936	768.224	103.313	4.05159
Phvul.010G016600.2	723	555.224	25.7344	1.39638
Phvul.010G064000.1	1434	1266.22	0	0
Phvul.010G164600.1	423	256.093	25	2.94105
Phvul.010G017000.1	942	774.224	219.948	8.55882
Phvul.010G080300.1	1461	1293.22	54	1.258
Phvul.010G048800.1	1527	1359.22	810	17.9537
Phvul.010G100100.1	6654	6486.22	2201	10.2232
Phvul.010G127500.1	2226	2058.22	0	0
Phvul.010G015600.1	645	477.249	376	23.7357
Phvul.010G015600.2	570	402.281	0	0
Phvul.010G048500.1	321	157.315	874	167.379
Phvul.010G149400.1	3438	3270.22	715.505	6.59166
Phvul.010G149400.2	3342	3174.22	322.495	3.06087
Phvul.010G042300.1	1422	1254.22	0	0
Phvul.010G159900.1	711	543.224	120	6.65522
Phvul.010G022100.1	801	633.224	2	0.0951552
Phvul.010G011000.1	1494	1326.22	0	0
Phvul.010G052600.2	654	486.237	3	0.18588
Phvul.010G156200.1	1278	1110.22	2	0.0542724
Phvul.010G092500.1	558	390.291	62	4.78589
Phvul.010G084200.1	3960	3792.22	528	4.19469
Phvul.010G133900.2	633	465.249	0	0
Phvul.010G133900.1	615	447.26	0	0
Phvul.010G099600.1	1044	876.224	218	7.49551
Phvul.010G009400.1	1803	1635.22	41.4731	0.764097
Phvul.010G009400.2	1527	1359.22	16.5269	0.366321
Phvul.010G115000.1	7587	7419.22	1189.56	4.83045
Phvul.010G115000.2	7113	6945.22	203.441	0.882494
Phvul.010G053400.1	1437	1269.22	0	0
Phvul.010G003200.2	381	214.992	48	6.72634
Phvul.010G003200.1	366	200.389	0	0
Phvul.010G148300.1	1830	1662.22	2464	44.6592
Phvul.010G027601.1	711	543.224	273.019	15.1417
Phvul.010G065900.1	438	270.895	21.3069	2.36962
Phvul.010G123800.1	282	121.427	0	0
Phvul.010G123800.2	270	110.837	0	0
Phvul.010G042600.1	1437	1269.22	0	0
Phvul.010G076720.1	534	366.338	10	0.82239
Phvul.010G097600.1	300	137.793	283	61.8756
