target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	752.312	52	2.70073
Phvul.010G034400.1	1524	1355.31	15	0.432442
Phvul.010G080100.1	1407	1238.31	73	2.3034
Phvul.010G087950.1	351	185.036	0	0
Phvul.010G124000.1	474	305.584	10	1.27863
Phvul.010G044100.1	279	118.218	1225	404.883
Phvul.010G120850.1	957	788.312	25.6362	1.27067
Phvul.010G162100.1	1782	1613.31	0	0
Phvul.010G081700.1	1359	1190.31	67.1698	2.2049
Phvul.010G081700.2	1359	1190.31	67.1698	2.2049
Phvul.010G081700.3	978	809.312	44.6603	2.15616
Phvul.010G116100.2	984	815.312	438.405	21.0101
Phvul.010G116100.1	984	815.312	438.405	21.0101
Phvul.010G116100.3	942	773.312	342.755	17.3183
Phvul.010G116100.4	930	761.312	139.217	7.14506
Phvul.010G116100.5	930	761.312	139.217	7.14506
Phvul.010G151000.1	1998	1829.31	101	2.1573
Phvul.010G015900.1	1059	890.312	8068	354.079
Phvul.010G140500.1	600	431.363	356	32.2465
Phvul.010G118600.1	894	725.312	53.4458	2.87915
Phvul.010G118600.2	888	719.312	86.7313	4.71124
Phvul.010G118600.3	870	701.312	0	0
Phvul.010G118600.4	864	695.312	0	0
Phvul.010G118600.5	864	695.312	0	0
Phvul.010G118600.6	864	695.312	2.89373	0.162613
Phvul.010G118600.7	858	689.312	4.92917	0.279405
Phvul.010G118600.8	840	671.312	0	0
Phvul.010G118600.9	834	665.312	0	0
Phvul.010G118600.10	834	665.312	0	0
Phvul.010G118600.11	816	647.312	0	0
Phvul.010G118600.12	810	641.312	0	0
Phvul.010G118600.13	651	482.341	0	0
Phvul.010G126700.4	675	506.341	526.648	40.64
Phvul.010G126700.1	645	476.341	73.7365	6.04841
Phvul.010G126700.5	624	455.352	213.735	18.3402
Phvul.010G126700.2	624	455.352	213.735	18.3402
Phvul.010G126700.6	591	422.363	93.0733	8.61024
Phvul.010G126700.3	591	422.363	93.0733	8.61024
Phvul.010G089600.1	1068	899.312	119.733	5.20209
Phvul.010G089600.2	1047	878.312	18.2674	0.812653
Phvul.010G128000.1	786	617.312	0	0
Phvul.010G160700.1	999	830.312	29	1.36469
Phvul.010G139800.1	2334	2165.31	78	1.40751
Phvul.010G139800.2	2316	2147.31	0	0
Phvul.010G139800.3	2226	2057.31	0	0
Phvul.010G139800.4	1923	1754.31	0	0
Phvul.010G139800.5	1905	1736.31	0	0
Phvul.010G075800.1	1284	1115.31	70	2.45232
Phvul.010G004000.1	1905	1736.31	12.9095	0.290508
Phvul.010G058700.1	1506	1337.31	48	1.40244
Phvul.010G042100.1	2886	2717.31	647	9.30338
