target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	753.818	48	2.3452
Phvul.010G034400.1	1524	1356.82	19	0.515747
Phvul.010G080100.1	1407	1239.82	80	2.37649
Phvul.010G087950.1	351	186.119	0	0
Phvul.010G124000.1	474	307.157	25	2.99768
Phvul.010G044100.1	279	118.743	1679	520.773
Phvul.010G120850.1	957	789.818	38.5332	1.79686
Phvul.010G162100.1	1782	1614.82	0	0
Phvul.010G081700.1	1359	1191.82	65.6907	2.03001
Phvul.010G081700.2	1359	1191.82	65.6907	2.03001
Phvul.010G081700.3	978	810.818	29.6185	1.34538
Phvul.010G116100.2	984	816.818	454.005	20.471
Phvul.010G116100.1	984	816.818	454.005	20.471
Phvul.010G116100.3	942	774.818	235.592	11.1987
Phvul.010G116100.4	930	762.818	97.6994	4.71711
Phvul.010G116100.5	930	762.818	97.6994	4.71711
Phvul.010G151000.1	1998	1830.82	111	2.23297
Phvul.010G015900.1	1059	891.818	7789	321.67
Phvul.010G140500.1	600	432.884	289	24.5884
Phvul.010G118600.1	894	726.818	23.1594	1.17356
Phvul.010G118600.2	888	720.818	95.5463	4.88195
Phvul.010G118600.3	870	702.835	0	0
Phvul.010G118600.4	864	696.835	0	0
Phvul.010G118600.5	864	696.835	0	0
Phvul.010G118600.6	864	696.835	1.00219	0.0529694
Phvul.010G118600.7	858	690.835	5.29212	0.282137
Phvul.010G118600.8	840	672.835	0	0
Phvul.010G118600.9	834	666.835	0	0
Phvul.010G118600.10	834	666.835	0	0
Phvul.010G118600.11	816	648.835	0	0
Phvul.010G118600.12	810	642.835	0	0
Phvul.010G118600.13	651	483.862	0	0
Phvul.010G126700.4	675	507.862	396.277	28.7381
Phvul.010G126700.1	645	477.862	40.5321	3.12393
Phvul.010G126700.5	624	456.862	152.646	12.3056
Phvul.010G126700.2	624	456.862	152.646	12.3056
Phvul.010G126700.6	591	423.916	46.9498	4.07905
Phvul.010G126700.3	591	423.916	46.9498	4.07905
Phvul.010G089600.1	1068	900.818	107.238	4.38446
Phvul.010G089600.2	1047	879.818	16.9845	0.710991
Phvul.010G128000.1	786	618.835	1	0.0595154
Phvul.010G160700.1	999	831.818	26	1.1512
Phvul.010G139800.1	2334	2166.82	51.3384	0.872618
Phvul.010G139800.2	2316	2148.82	32.3509	0.554487
Phvul.010G139800.3	2226	2058.82	1.31074	0.0234479
Phvul.010G139800.4	1923	1755.82	0	0
Phvul.010G139800.5	1905	1737.82	0	0
Phvul.010G075800.1	1284	1116.82	59	1.94569
Phvul.010G004000.1	1905	1737.82	10.4807	0.222122
Phvul.010G058700.1	1506	1338.82	36	0.990343
Phvul.010G042100.1	2886	2718.82	686	9.29285
Phvul.010G050300.1	375	209.416	0	0
Phvul.010G057200.1	1878	1710.82	0	0
Phvul.010G060700.1	216	66.0315	342	190.756
Phvul.010G065200.1	753	585.835	482.5	30.3338
Phvul.010G065200.2	753	585.835	482.5	30.3338
Phvul.010G133600.1	1032	864.818	963	41.0116
Phvul.010G133600.2	1032	864.818	963	41.0116
Phvul.010G013600.1	3285	3117.82	1.25248	0.0147953
Phvul.010G031300.1	441	274.352	191	25.6407
Phvul.010G133100.1	351	186.119	5.15095	1.0193
Phvul.010G071200.1	1431	1263.82	0	0
Phvul.010G024600.1	657	489.862	3715	279.312
Phvul.010G009000.2	1518	1350.82	7.31104	0.199337
Phvul.010G009000.1	1455	1287.82	21.1527	0.604945
Phvul.010G000200.1	816	648.835	172	9.76334
Phvul.010G018600.2	1866	1698.82	330	7.15438
Phvul.010G001200.1	1527	1359.82	1347	36.4831
Phvul.010G124300.1	552	384.946	0	0
Phvul.010G071832.1	1737	1569.82	423	9.92421
Phvul.010G077400.1	375	209.416	0	0
Phvul.010G165100.1	2292	2124.82	658	11.4054
Phvul.010G081100.1	2247	2079.82	50	0.88542
Phvul.010G011200.1	909	741.818	2	0.0992973
Phvul.010G155200.2	483	316.117	614	71.536
Phvul.010G138200.1	1503	1335.82	131	3.61184
Phvul.010G084400.1	666	498.862	700	51.68
Phvul.010G122100.1	2157	1989.82	1012	18.7315
Phvul.010G122100.2	2052	1884.82	0	0
Phvul.010G070100.3	1833	1665.82	232	5.12938
Phvul.010G070100.1	1833	1665.82	232	5.12938
Phvul.010G070100.2	1833	1665.82	232	5.12938
Phvul.010G145400.2	456	289.261	0	0
Phvul.010G163400.1	615	447.873	546	44.8996
Phvul.010G089500.1	333	168.919	0	0
Phvul.010G016900.1	942	774.818	61.2446	2.9112
Phvul.010G161600.3	855	687.835	310	16.599
Phvul.010G119600.1	1287	1119.82	995	32.7251
Phvul.010G088400.1	2235	2067.82	229.595	4.08936
Phvul.010G088400.2	2019	1851.82	7.40478	0.147271
Phvul.010G077900.1	2157	1989.82	166	3.07255
Phvul.010G118100.3	660	492.862	331	24.7347
Phvul.010G118100.1	660	492.862	331	24.7347
Phvul.010G118100.2	660	492.862	331	24.7347
Phvul.010G140900.1	816	648.835	61.4713	3.48934
