"","gene_id","target_id","gene_description","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"1","Phvul.003G042700","Phvul.003G042700.1","PF07168 - Ureide permease (Ureide_permease)  (1 of 3)",1.87074971216805e-07,0.00505981674650093,27.1622611800402,1.3815216355675,1,6.2005066962768,0.271269107690222,0.0023206952245986,0.151181708727345,0.0154115095215797,0.151181708727345
"2","Phvul.009G239100","Phvul.009G239100.1","6.1.1.6 - Lysine--tRNA ligase / Lysyl-tRNA synthetase (1 of 4)",7.3400449390957e-07,0.00992630977338608,24.523725085681,1.26730821711334,1,5.61498340465601,0.221027754601974,0.00392803335585144,0.136883990767853,0.0181040688532129,0.136883990767853
"3","Phvul.007G050400","Phvul.007G050400.1","PF01657//PF07714 - Salt stress response/antifungal (Stress-antifung)  // Protein tyrosine kinase (Pkinase_Tyr)  (1 of 40)",1.6445782586647e-06,0.014826969387368,22.9710690644385,1.56997559086005,1,5.12036943601038,0.53010966845811,0.00726945008976029,0.167172282228023,0.0226840448095474,0.167172282228023
"4","Phvul.003G058000","Phvul.003G058000.1","PTHR31828:SF1 - PHOSPHOLIPASE A1-IIALPHA-RELATED (1 of 3)",4.21860827106353e-06,0.016300099701065,21.1628604034679,1.03677783978347,1,5.70623522060121,0.23824026584438,0.00361129314954746,0.111586244604172,0.0175218909056535,0.111586244604172
"5","Phvul.005G171900","Phvul.005G171900.1","KOG0265//KOG0279 - U5 snRNP-specific protein-like factor and related proteins // G protein beta subunit-like protein (1 of 1)",2.86560109826422e-06,0.016300099701065,21.9045070030537,4.5757145321774,1,5.84815450208839,1.33786010462322,0.00667344910637623,0.501739276691113,0.0167445732533321,0.501739276691113
"6","Phvul.011G029200","Phvul.011G029200.1","",3.99745260445021e-06,0.016300099701065,21.2660684137103,6.95004006248133,1,4.05361648571651,1.53054555007939,0.0785017867648348,0.693724886844202,0.0448156068325841,0.693724886844202
"7","Phvul.002G180200","Phvul.002G180200.1","K08150 - MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13 (SLC2A13, ITR)  (1 of 10)",4.11134645818108e-06,0.016300099701065,21.2122208632106,1.46112235427115,1,5.63600785167252,0.417552466072932,0.00417900796368514,0.158167920288665,0.0179638308694151,0.158167920288665
"8","Phvul.009G132900","Phvul.009G132900.1","1.2.1.25 - 2-oxoisovalerate dehydrogenase (acylating) (1 of 2)",5.61156181941202e-06,0.0189719890662046,20.6163231324319,1.80945658194898,1,4.34639011686075,0.808274404200587,0.021841282750695,0.179209448576969,0.0364504044896406,0.179209448576969
"9","Phvul.003G183100","Phvul.003G183100.1","PTHR24298:SF112 - CYTOCHROME P450 78A5-RELATED (1 of 2)",7.71347227897837e-06,0.0231806983032809,20.0076063993657,3.5609593507532,1,5.54687673385797,1.04968248780024,0.00742952399438318,0.388232626089305,0.0185847270639876,0.388232626089305
"10","Phvul.011G214400","Phvul.011G214400.1","PF00069//PF01453 - Protein kinase domain (Pkinase)  // D-mannose binding lectin (B_lectin)  (1 of 8)",1.16972455982922e-05,0.024711874554547,19.2120537956995,1.66401896210791,1,4.35505062127618,0.474168174737586,0.0145451724209069,0.170345823368861,0.0362419958425944,0.170345823368861
