target_id	length	eff_length	est_counts	tpm
Phvul.L001612.1	921	765.211	28	2.18122
Phvul.010G034400.1	1524	1368.21	142	6.18668
Phvul.010G080100.1	1407	1251.21	50	2.38211
Phvul.010G087950.1	351	196.715	0	0
Phvul.010G124000.1	474	318.404	23	4.30598
Phvul.010G044100.1	279	127.608	1485	693.7
Phvul.010G120850.1	957	801.211	45.6037	3.39294
Phvul.010G162100.1	1782	1626.21	0	0
Phvul.010G081700.1	1359	1203.21	69.4767	3.44207
Phvul.010G081700.2	1359	1203.21	69.4767	3.44207
Phvul.010G081700.3	978	822.211	16.0465	1.16338
Phvul.010G116100.2	984	828.211	376.92	27.1288
Phvul.010G116100.1	984	828.211	376.92	27.1288
Phvul.010G116100.3	942	786.211	193.65	14.6825
Phvul.010G116100.4	930	774.211	95.2552	7.33418
Phvul.010G116100.5	930	774.211	95.2552	7.33418
Phvul.010G151000.1	1998	1842.21	228	7.37765
Phvul.010G015900.1	1059	903.211	3838	253.302
Phvul.010G140500.1	600	444.239	233	31.2652
Phvul.010G118600.1	894	738.211	18.1615	1.46654
Phvul.010G118600.2	888	732.211	56.8385	4.62731
Phvul.010G118600.3	870	714.211	0	0
Phvul.010G118600.4	864	708.211	0	0
Phvul.010G118600.5	864	708.211	0	0
Phvul.010G118600.6	864	708.211	0	0
Phvul.010G118600.7	858	702.211	0	0
Phvul.010G118600.8	840	684.228	0	0
Phvul.010G118600.9	834	678.228	0	0
Phvul.010G118600.10	834	678.228	0	0
Phvul.010G118600.11	816	660.228	0	0
Phvul.010G118600.12	810	654.228	0	0
Phvul.010G118600.13	651	495.228	0	0
Phvul.010G126700.4	675	519.228	188.588	21.651
Phvul.010G126700.1	645	489.228	70.169	8.5498
Phvul.010G126700.5	624	468.228	54.9024	6.98966
Phvul.010G126700.2	624	468.228	54.9024	6.98966
Phvul.010G126700.6	591	435.239	37.2193	5.09756
Phvul.010G126700.3	591	435.239	37.2193	5.09756
Phvul.010G089600.1	1068	912.211	90.8073	5.934
Phvul.010G089600.2	1047	891.211	13.368	0.894145
Phvul.010G128000.1	786	630.228	0	0
Phvul.010G160700.1	999	843.211	58	4.10029
Phvul.010G139800.1	2334	2178.21	90.9707	2.48957
Phvul.010G139800.2	2316	2160.21	0	0
Phvul.010G139800.3	2226	2070.21	0.0293351	0.000844686
Phvul.010G139800.4	1923	1767.21	0	0
Phvul.010G139800.5	1905	1749.21	0	0
Phvul.010G075800.1	1284	1128.21	50	2.64181
Phvul.010G004000.1	1905	1749.21	18.2037	0.620356
Phvul.010G058700.1	1506	1350.21	42	1.85426
Phvul.010G042100.1	2886	2730.21	468	10.2181
Phvul.010G050300.1	375	220.264	4	1.08253
Phvul.010G057200.1	1878	1722.21	0	0
Phvul.010G060700.1	216	71.4637	225.363	187.983
Phvul.010G065200.1	753	597.228	390	38.9266
Phvul.010G065200.2	753	597.228	390	38.9266
Phvul.010G133600.1	1032	876.211	289	19.6613
Phvul.010G133600.2	1032	876.211	289	19.6613
Phvul.010G013600.1	3285	3129.21	0	0
Phvul.010G031300.1	441	285.56	242	50.5172
Phvul.010G133100.1	351	196.715	3.03299	0.919083
Phvul.010G071200.1	1431	1275.21	0	0
Phvul.010G024600.1	657	501.228	3259	387.589
Phvul.010G009000.2	1518	1362.21	0	0
Phvul.010G009000.1	1455	1299.21	24	1.10117
Phvul.010G000200.1	816	660.228	62	5.59784
Phvul.010G018600.2	1866	1710.21	243	8.46991
Phvul.010G001200.1	1527	1371.21	673	29.2572
Phvul.010G124300.1	552	396.239	2	0.300881
Phvul.010G071832.1	1737	1581.21	312	11.7622
Phvul.010G077400.1	375	220.264	0	0
Phvul.010G165100.1	2292	2136.21	1178	32.8718
Phvul.010G081100.1	2247	2091.21	46	1.31124
Phvul.010G011200.1	909	753.211	1	0.0791418
Phvul.010G155200.2	483	327.372	368	67.0084
Phvul.010G138200.1	1503	1347.21	58	2.56634
Phvul.010G084400.1	666	510.228	312	36.4513
Phvul.010G122100.1	2157	2001.21	624	18.5872
Phvul.010G122100.2	2052	1896.21	0	0
Phvul.010G070100.3	1833	1677.21	184	6.53962
Phvul.010G070100.1	1833	1677.21	184	6.53962
Phvul.010G070100.2	1833	1677.21	184	6.53962
Phvul.010G145400.2	456	300.473	0	0
Phvul.010G163400.1	615	459.228	407	52.831
Phvul.010G089500.1	333	179.144	0	0
Phvul.010G016900.1	942	786.211	18.8749	1.43109
Phvul.010G161600.3	855	699.211	163	13.8964
Phvul.010G119600.1	1287	1131.21	854	45.0025
Phvul.010G088400.1	2235	2079.21	170	4.87386
Phvul.010G088400.2	2019	1863.21	4.61086e-06	1.47517e-07
Phvul.010G077900.1	2157	2001.21	141	4.19999
Phvul.010G118100.3	660	504.228	259.667	30.6981
Phvul.010G118100.1	660	504.228	259.667	30.6981
Phvul.010G118100.2	660	504.228	259.667	30.6981
Phvul.010G140900.1	816	660.228	238.036	21.4917
Phvul.010G082900.1	456	300.473	3227	640.201
Phvul.010G147700.1	753	597.228	36.1981	3.613
Phvul.010G147700.2	588	432.239	1.80194	0.248507
Phvul.010G041100.1	408	252.769	0	0
Phvul.010G010800.1	546	390.249	106	16.1915
Phvul.010G010800.2	405	249.813	0	0
Phvul.010G075200.1	627	471.228	2	0.253
Phvul.010G141200.2	816	660.228	456.997	41.2612
Phvul.010G070200.1	2721	2565.21	119.347	2.77338
Phvul.010G070200.2	2721	2565.21	119.347	2.77338
